post_time,price,title,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,delivery available,cryptocurrency ok
2020-01-22T15:20:07-0800,$7900,2002 GMC,,good,,rwd,gas,142,,full-size,clean,automatic,van,,
2020-01-22T15:18:41-0800,$11000,2009 Toyota Sienna,5TDBK22C89S022666,excellent,6 cylinders,4wd,gas,110000,green,,clean,automatic,mini-van,,
2020-01-22T15:15:50-0800,$14688,2013 FORD EDGE,2FMDK3JC2DBA64224,,,fwd,gas,68650,black,,clean,automatic,SUV,,
2020-01-22T15:14:31-0800,$13900,2012 BMW X5 xDRIVE35i AWD,5UXZV4C55CL763446,excellent,6 cylinders,4wd,gas,79000,black,,clean,automatic,,,
2020-01-22T15:14:04-0800,$27500,2016 GMC Sierra 1500 4x4,,,6 cylinders,4wd,gas,,white,,salvage,automatic,truck,,
2020-01-22T15:09:16-0800,$2100,2009 chrysler pt cruiser,,,4 cylinders,fwd,gas,,blue,,clean,automatic,,,
2020-01-22T15:08:55-0800,$3700,2002 chevy silverado,,,,,gas,132,,,clean,automatic,,,
2020-01-22T15:02:47-0800,$381,2017 Lexus NX,JTJBARBZ0H2098322,excellent,4 cylinders,,gas,45342,silver,,clean,automatic,SUV,,
2020-01-22T14:53:29-0800,$8700,2003 Dodge Ram 1500  4x4,,excellent,8 cylinders,4wd,gas,181,white,full-size,clean,automatic,pickup,,
2020-01-22T14:51:53-0800,$3500,2010 jeep compass,,,4 cylinders,,gas,,white,,clean,automatic,,,
2020-01-22T14:49:10-0800,$9900,2012 Audi A5,,excellent,,4wd,gas,50245,,,salvage,automatic,,,
2020-01-22T14:48:29-0800,$14950,2012 toyota tundra crewmax,5TFDY5F13CX240906,excellent,8 cylinders,4wd,gas,204878,silver,full-size,clean,automatic,pickup,,
2020-01-22T14:26:53-0800,$5850,2012 lexus es 350,JTHBJ46G982164153,fair,6 cylinders,fwd,gas,,silver,mid-size,clean,automatic,sedan,,
2020-01-22T14:47:35-0800,$28500,2014 2014 Jeep Wrangler,,excellent,6 cylinders,,gas,48756,,,clean,automatic,,,
2020-01-22T14:45:37-0800,$2000,1998 1998 Subaru Impreza,jf1gf4859wh808223,good,4 cylinders,4wd,gas,208000,green,,clean,automatic,hatchback,,
2020-01-22T14:43:08-0800,$3000,1988 kawasaki ninja 600r,,fair,other,rwd,gas,,black,full-size,clean,manual,other,,
2020-01-22T14:42:01-0800,$21980,2011 FORD F-250,1FTBF2A64BEA70564,,,fwd,gas,33490,silver,,clean,automatic,pickup,,
2020-01-22T14:41:46-0800,$32980,2014 FORD F-350,1FDRF3E61EEA35902,,,fwd,gas,56497,white,,clean,automatic,other,,
2020-01-22T14:41:31-0800,$6500,2010 chevrolet express cargo van,1GCUGADX9A1146743,excellent,6 cylinders,rwd,gas,184006,white,full-size,clean,automatic,van,,
2020-01-22T14:41:28-0800,$20980,2011 FORD F-150,1FTFW1CF0BKD39119,,,fwd,gas,37285,white,,clean,automatic,pickup,,
2020-01-22T14:41:08-0800,$11500,2010 mercedes benz e550,,,,,gas,,,,clean,automatic,,,
2020-01-22T14:41:10-0800,$28980,2011 DODGE RAM CHASSIS CAB,3D6WZ4ET8BG564742,,,4wd,gas,57628,white,,clean,automatic,other,,
2020-01-22T14:40:45-0800,$8995,2004 ford e-350,1FDSE35L64HB26896,,,,gas,174999,white,,clean,automatic,,,
2020-01-22T14:39:43-0800,$9995,2005 Ford E350 15' Box Truck,1FDWE35L25HA52069,good,8 cylinders,rwd,gas,142511,white,,clean,automatic,,,
2020-01-22T14:38:15-0800,$6995,2005 gmc w4500,J8DC4B16657009671,,,,diesel,162374,white,,clean,automatic,,,
2020-01-22T14:37:47-0800,$3500,2011 2011 Ford F350 Super Duty,,,,,gas,30000,,,parts only,automatic,,,
2020-01-22T14:36:13-0800,$11500,2014 toyota prius,,good,,,hybrid,83250,,,clean,automatic,hatchback,,
2020-01-22T14:35:49-0800,$16888,2018 FORD ESCAPE,1FMCU0GD8JUA92538,,,fwd,gas,35553,black,,clean,automatic,SUV,,
2020-01-22T14:34:46-0800,$2500,2004 ford expedition,,good,8 cylinders,rwd,gas,240000,black,full-size,clean,automatic,SUV,,
2020-01-22T14:33:21-0800,$362,2017 Lexus ES,JTHBK1GG1H2252706,excellent,6 cylinders,fwd,gas,55967,white,,clean,automatic,sedan,,
2020-01-22T14:31:44-0800,$10981,2010 Honda Odyssey,5FNRL3H67AB031502,,6 cylinders,fwd,gas,81416,grey,,clean,automatic,van,,
